epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2528.77,2.39962,2.78005,0.00365,0,0,0,0,0,390.679,0,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,2945.67,2.32117,1.96135,0.00321,0.33326,0.27726,0.22138,0.1211,2.16966,1.66084,0.004,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252
3,8573.77,2.32528,1.8183,0.00319,0.40338,0.2854,0.24804,0.13481,2.16325,1.58448,0.00404,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393
4,11864.2,2.32445,1.72964,0.00317,0.37222,0.29956,0.25795,0.13799,2.17432,1.64622,0.00399,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,18556.8,2.28452,1.64657,0.00308,0.43105,0.30674,0.27811,0.15143,2.1265,1.58414,0.00387,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,20527.6,2.25944,1.61097,0.00304,0.41055,0.30244,0.27767,0.15399,2.16162,1.52117,0.00385,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,21830.8,2.24169,1.57194,0.00297,0.4262,0.33785,0.30378,0.16686,2.08318,1.56353,0.00376,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,24540.5,2.23069,1.55142,0.00294,0.44982,0.32245,0.30913,0.17166,2.09719,1.48029,0.00379,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,27441.2,2.21394,1.53274,0.00293,0.46634,0.32842,0.31642,0.17717,2.07123,1.44735,0.00367,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,30330.7,2.20626,1.5191,0.0029,0.47508,0.34741,0.33327,0.18677,2.04891,1.46026,0.00366,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,33073,2.18692,1.49955,0.00288,0.4562,0.34202,0.31766,0.17671,2.07545,1.44112,0.00367,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,37095.5,2.19068,1.49191,0.00285,0.465,0.3485,0.32577,0.1809,2.04713,1.47608,0.00362,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,39380.4,2.17457,1.47467,0.00285,0.4629,0.34577,0.32968,0.18046,2.04518,1.40727,0.00363,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,40326.2,2.16182,1.46764,0.00282,0.48355,0.34966,0.34013,0.18939,2.01857,1.40545,0.00359,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,41528.5,2.15791,1.45579,0.0028,0.48792,0.35351,0.34664,0.1957,2.00277,1.38286,0.00354,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,42946.9,2.15843,1.44943,0.00278,0.48679,0.3622,0.35451,0.19741,2.02181,1.38329,0.00356,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,44302.1,2.14637,1.44265,0.00277,0.50711,0.35754,0.34807,0.19268,2.01272,1.41087,0.00355,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,46059.2,2.1458,1.42867,0.00275,0.50594,0.35693,0.35563,0.19736,2.02832,1.36518,0.00359,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,47501.9,2.14206,1.42878,0.00274,0.48467,0.37556,0.36426,0.20459,2.00281,1.36856,0.00355,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,52189.6,2.13165,1.41783,0.00274,0.517,0.36544,0.36922,0.20688,1.99016,1.35131,0.00351,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,55355.5,2.12125,1.40598,0.0027,0.50821,0.36057,0.36331,0.20472,1.99901,1.356,0.0035,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,58041.1,2.11898,1.40231,0.00271,0.5189,0.36397,0.36555,0.20526,1.99649,1.35608,0.00354,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,61212.1,2.11259,1.39607,0.0027,0.50337,0.37926,0.37776,0.21369,1.96709,1.33472,0.00345,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,63013.4,2.11657,1.39618,0.00268,0.52203,0.37262,0.37134,0.20902,1.97511,1.36948,0.00346,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,64445,2.09619,1.38534,0.00268,0.51295,0.3711,0.36991,0.21235,1.96715,1.35192,0.00347,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,65901.9,2.10747,1.37973,0.00266,0.51324,0.36752,0.36535,0.20587,1.95954,1.33489,0.00345,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,70263.8,2.10455,1.38423,0.00267,0.50953,0.37331,0.36866,0.20818,1.96787,1.33474,0.00342,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,71950.7,2.09914,1.3691,0.00265,0.53794,0.36862,0.37624,0.21212,1.97418,1.33773,0.00345,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,73618.1,2.10553,1.37071,0.00264,0.50954,0.37614,0.37813,0.21405,1.95922,1.33226,0.00346,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,78373.2,2.09045,1.37308,0.00265,0.5183,0.38935,0.3864,0.21969,1.95274,1.33499,0.00342,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,80265.1,2.07815,1.35275,0.00262,0.53142,0.38409,0.38975,0.2227,1.93587,1.31063,0.00337,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,83346.5,2.08531,1.35559,0.00263,0.53941,0.37967,0.38537,0.22058,1.94215,1.31726,0.00338,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,84746.7,2.07067,1.34861,0.00261,0.53247,0.38671,0.39273,0.2223,1.94776,1.32169,0.00341,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,86946.7,2.06915,1.34449,0.00262,0.53895,0.38238,0.39033,0.22202,1.94963,1.30801,0.00336,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,88231.3,2.06848,1.34404,0.00262,0.53123,0.39163,0.39322,0.22429,1.94847,1.31741,0.00338,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,90797.8,2.06226,1.33958,0.0026,0.53088,0.37861,0.39015,0.22252,1.92614,1.31117,0.00336,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,93124.8,2.06811,1.33682,0.0026,0.53026,0.38901,0.39254,0.22399,1.92776,1.2949,0.00335,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,95166.6,2.06745,1.33396,0.00259,0.5377,0.38745,0.39239,0.22455,1.92487,1.30739,0.00335,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,98087.5,2.05866,1.33039,0.00258,0.55733,0.38324,0.39635,0.22767,1.9265,1.3009,0.00334,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,100643,2.0522,1.32614,0.00257,0.5513,0.38837,0.39548,0.22724,1.92918,1.29575,0.00334,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,102581,2.04809,1.32203,0.00258,0.54819,0.38347,0.39603,0.22772,1.91857,1.30083,0.00332,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,103549,2.04487,1.31301,0.00255,0.54488,0.39316,0.40159,0.23062,1.91283,1.29366,0.00332,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,104355,2.04607,1.31183,0.00255,0.5384,0.39094,0.39893,0.22755,1.9341,1.29622,0.00334,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,106483,2.04629,1.31246,0.00254,0.54327,0.39852,0.40494,0.23375,1.91417,1.28828,0.00329,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,107163,2.04847,1.31336,0.00255,0.54415,0.39223,0.40064,0.23038,1.91995,1.28556,0.0033,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,107900,2.03847,1.30352,0.00254,0.54681,0.39451,0.40131,0.2284,1.92003,1.28563,0.00332,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,108799,2.03103,1.29651,0.00253,0.5486,0.39835,0.40613,0.23244,1.91884,1.27536,0.00332,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,109839,2.03326,1.29556,0.00253,0.55108,0.39994,0.40542,0.23272,1.9204,1.28853,0.00331,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,110807,2.03195,1.29981,0.00252,0.55483,0.39553,0.40396,0.23095,1.9189,1.29483,0.00329,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,111426,2.02644,1.29166,0.0025,0.56093,0.39714,0.40712,0.23429,1.91481,1.27792,0.0033,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,112100,2.02095,1.28578,0.0025,0.55505,0.39717,0.40493,0.23301,1.90512,1.28131,0.00329,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,112982,2.01495,1.28037,0.00249,0.54599,0.40554,0.41015,0.23629,1.90017,1.26402,0.00327,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,113967,2.00878,1.275,0.0025,0.54729,0.40596,0.41043,0.23553,1.90211,1.2706,0.00327,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,114650,2.01703,1.28364,0.0025,0.55081,0.40804,0.41016,0.235,1.90832,1.27124,0.00329,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,115340,2.01941,1.27976,0.00248,0.54411,0.40773,0.41015,0.23753,1.90196,1.26716,0.00326,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,116929,2.00187,1.27006,0.00248,0.55202,0.39896,0.40803,0.23664,1.89836,1.27151,0.00326,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,117616,2.01058,1.27252,0.00246,0.54455,0.40315,0.40511,0.23526,1.89728,1.27292,0.00326,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,118297,1.99553,1.25921,0.00247,0.54764,0.40414,0.4087,0.23649,1.89615,1.27227,0.00328,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,118891,1.99437,1.26158,0.00247,0.57078,0.393,0.40847,0.23851,1.89695,1.26607,0.00326,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,120048,2.00295,1.26629,0.00246,0.54887,0.40125,0.41034,0.23836,1.89381,1.26803,0.00325,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,120896,2.00577,1.2658,0.00244,0.56614,0.40619,0.4121,0.23726,1.89436,1.26167,0.00325,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,122067,1.99286,1.25274,0.00246,0.5527,0.40212,0.41067,0.23787,1.89697,1.26638,0.00325,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,123110,1.9796,1.25259,0.00244,0.56017,0.40351,0.41363,0.24029,1.89264,1.26407,0.00326,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,123907,1.99417,1.25187,0.00243,0.56578,0.40409,0.41294,0.23743,1.90313,1.26257,0.00325,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,125968,1.98484,1.25017,0.00242,0.57,0.40626,0.41866,0.24325,1.88612,1.25953,0.00324,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,127198,1.98194,1.2468,0.00243,0.55206,0.40591,0.41619,0.24153,1.88579,1.25882,0.00322,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,128130,1.98472,1.24945,0.00243,0.55567,0.40794,0.41839,0.24329,1.88444,1.25572,0.00323,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,129013,1.97619,1.24016,0.00243,0.55692,0.40689,0.41691,0.24045,1.8861,1.25909,0.00323,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,133319,1.97307,1.2365,0.00241,0.56803,0.40947,0.41686,0.24117,1.88775,1.25892,0.00322,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,135039,1.96924,1.23323,0.00242,0.57039,0.40429,0.41641,0.24106,1.88676,1.26146,0.00322,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,137763,1.96809,1.23069,0.00241,0.56878,0.4,0.41205,0.23868,1.88493,1.2583,0.00322,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,140901,1.96267,1.23096,0.00241,0.56587,0.40111,0.41196,0.23953,1.88575,1.26231,0.00322,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,144119,1.96198,1.2276,0.00239,0.55735,0.4101,0.41612,0.24058,1.88251,1.25836,0.00322,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,147985,1.95954,1.22446,0.00239,0.57259,0.40363,0.41553,0.24049,1.88497,1.26069,0.00322,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,149919,1.95371,1.21893,0.00239,0.57886,0.39988,0.41541,0.24076,1.88665,1.2573,0.00322,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,151066,1.95839,1.22034,0.00237,0.56125,0.40851,0.41652,0.24104,1.88445,1.25516,0.00323,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,152422,1.95351,1.21165,0.00238,0.58134,0.40098,0.41979,0.24292,1.88645,1.2571,0.00322,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,154152,1.95126,1.2139,0.00236,0.5806,0.40375,0.41794,0.243,1.88105,1.26062,0.00321,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,155679,1.95155,1.21492,0.00236,0.57435,0.40637,0.41683,0.2423,1.88115,1.25837,0.00322,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,157287,1.94023,1.20592,0.00236,0.57904,0.4017,0.41668,0.24213,1.88498,1.25302,0.00322,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,159045,1.95147,1.21239,0.00235,0.56345,0.40638,0.41735,0.2427,1.88332,1.25626,0.00321,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,163064,1.92836,1.19914,0.00235,0.57573,0.40086,0.41697,0.24242,1.87952,1.26015,0.00321,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,165471,1.9425,1.20427,0.00235,0.56582,0.40875,0.41468,0.24154,1.88035,1.25419,0.00321,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,168138,1.93923,1.20493,0.00235,0.54843,0.41235,0.41482,0.24132,1.87882,1.2572,0.00321,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,170965,1.93347,1.19985,0.00235,0.5674,0.40546,0.41674,0.2421,1.87919,1.25507,0.00321,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,172122,1.92721,1.19333,0.00234,0.55943,0.40901,0.41753,0.24249,1.8789,1.25465,0.00321,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,179015,1.93506,1.19463,0.00233,0.56465,0.40411,0.41698,0.24154,1.8807,1.25569,0.00321,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,181356,1.92243,1.18837,0.00233,0.56497,0.4033,0.41888,0.24303,1.88209,1.25674,0.00321,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,184646,1.92063,1.1851,0.00232,0.56966,0.40268,0.4185,0.24285,1.8784,1.25319,0.00321,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,188229,1.93009,1.18851,0.00232,0.57078,0.40533,0.41928,0.24318,1.87633,1.25376,0.00321,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,188805,1.86095,1.15985,0.00241,0.56364,0.40585,0.41424,0.24091,1.8773,1.26022,0.00321,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,189416,1.8419,1.13759,0.00238,0.56783,0.40112,0.4133,0.24034,1.87914,1.25974,0.00321,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,189925,1.83855,1.13652,0.00237,0.57702,0.3977,0.41494,0.24048,1.88021,1.25875,0.00322,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,190352,1.82858,1.12341,0.00237,0.57152,0.39899,0.41299,0.23991,1.88249,1.2571,0.00322,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,190805,1.84009,1.12659,0.00235,0.55672,0.40836,0.41307,0.24039,1.88188,1.25801,0.00322,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,192025,1.83123,1.12239,0.00236,0.55564,0.40704,0.41499,0.24097,1.88156,1.25656,0.00322,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,192482,1.82786,1.12106,0.00235,0.55425,0.40852,0.41436,0.24045,1.88078,1.2588,0.00321,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,194750,1.82442,1.11734,0.00234,0.55874,0.40575,0.41434,0.24036,1.88015,1.25865,0.00322,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,195357,1.82632,1.11723,0.00234,0.56749,0.40355,0.41446,0.24016,1.88158,1.25755,0.00322,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,196266,1.8228,1.11687,0.00233,0.56523,0.40272,0.41464,0.24023,1.88114,1.25808,0.00322,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
